 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100524_LT_serum_and_plasma_POS_34401,X20100524_LT_serum_and_plasma_POS_35501,X20100524_LT_serum_and_plasma_POS_35601,X20100524_LT_serum_and_plasma_POS_41101,X20100524_LT_serum_and_plasma_POS_42001,X20100524_LT_serum_and_plasma_POS_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
,,,,,,,,,,benign,benign,benign,malignant,malignant,malignant,,,,,,,,,,,,,,,,,,,,
1,69.03419342,69.03321767,69.04,245.92731,232.9387206,246.9026396,453,258,120,625.64603,1099.268707,1085.138228,1050.722511,1063.436804,1149.045224,,,16,1,0,1,1,0,,,,,,,,,,,,
2,69.03475191,69.03273355,69.04,139.1728749,137.9480864,140.2645211,378,258,120,74.72040586,132.3111803,116.6844611,30.77175751,389.0462943,424.640566,,,31,0,0,1,0,0,,,,,,,,,,,,
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,1-Pentyne,C5H8,68.06260026,7,,,,,,340256,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,"1,4-Pentadiene",C5H8,68.06260026,7,,,,,,338898,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,Pent-2-yne,C5H8,68.06260026,7,,,,,,335229,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,"3-Methylbuta-1,2-diene",C5H8,68.06260026,7,,,,,,319520,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,3-Methylbut-1-yne,C5H8,68.06260026,7,,,,,,319516,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,"2,3-Pentadiene",C5H8,68.06260026,7,,,,,,316235,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,1-Ethylcycloprop-1-ene,C5H8,68.06260026,7,,,,,,297669,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,Cyclopentene,C5H8,68.06260026,7,,,,,,292175,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,"1,3-Pentadiene",C5H8,68.06260026,7,,,,,,288776,-1
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698,,,204,1,0,1,1,0,69.07038398,Isoprene,C5H8,68.0626,7,6557,,,C16521,,71229,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,1-Pentyne,C5H8,68.06260026,9,,,,,,340256,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,"1,4-Pentadiene",C5H8,68.06260026,9,,,,,,338898,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,Pent-2-yne,C5H8,68.06260026,9,,,,,,335229,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,"3-Methylbuta-1,2-diene",C5H8,68.06260026,9,,,,,,319520,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,3-Methylbut-1-yne,C5H8,68.06260026,9,,,,,,319516,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,"2,3-Pentadiene",C5H8,68.06260026,9,,,,,,316235,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,1-Ethylcycloprop-1-ene,C5H8,68.06260026,9,,,,,,297669,-1
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992,,,35,1,0,1,1,0,69.07054528,Cyclopentene,C5H8,68.06260026,9,,,,,,292175,-1
