 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Group1,Group2,RL105201RS,RL109401RS,RL104901RS,RL107201RS,RL101701RS,RL109001RS,RL108201RS,RL107701RS,RL102301RS,RL104601RS,RL100201RS,RL110101RS,RL107101RS,RL109301RS,RL108401RS,RL109601RS,RL108701RS,RL110201RS,RL101301RS,RL108301RS,RL102601RS,RL111001RS,RL101001RS,RL105101RS,RL106501RS,RL107801RS,RL109501RS,RL102501RS,RL104001RS,RL105301RS,RL110401RS,RL107901RS,RL102801RS,RL104101RS,RL102001RS,RL100901RS,RL105701RS,RL105501RS,RL111101RS,RL108901RS,RL106301RS,RL101201RS,RL105601RS,RL107001RS,RL106901RS,RL108801RS,RL103401RS,RL103001RS,RL103301RS,RL103701RS,RL109801RS,RL104501RS,RL107501RS,RL109201RS,RL108501RS,RL103201RS,RL100501RS,RL102201RS,RL104401RS,RL100601RS,RL104801RS,RL100301RS,RL105001RS,RL103601RS,RL110301RS,RL110001RS,RL100401RS,RL104201RS,RL104701RS,RL102401RS,RL105901RS,RL108001RS,RL107601RS,RL106401RS,RL103801RS,RL103901RS,RL101801RS,RL109901RS,RL101101RS,RL110901RS,RL105801RS,RL103501RS,RL110701RS,RL101501RS,RL100101RS,RL101601RS,RL106001RS,RL106201RS,RL106101RS,isotopes,adduct,pcgroup,Query Mass,Name,ID,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
,,,,,,,,,,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Case,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,,,,,,,,,,,,,,,,
1,137.112264,137.1114763,137.1130486,132.995192,131.5743374,134.0273395,45,25,20,5.572377805,5.044167236,5.92349219,5.406385169,5.673437482,5.302294123,5.396692663,5.392118094,5.576617736,5.419284799,5.206531751,5.526153111,5.306092477,5.47328839,5.511573231,5.062995401,5.499318601,5.13782234,5.42340809,5.188433471,5.386259904,5.579879588,5.628834237,5.39472303,5.226293084,5.225699454,5.826539314,5.62332787,5.262944434,5.283882161,5.276452613,5.495308395,5.63542644,5.599682246,5.678802353,5.036109667,5.015942057,5.109804578,5.098283683,4.972364858,5.197790382,5.024662141,5.1067347,5.007466121,5.070986733,5.079506845,5.307312012,5.021677089,5.336191469,5.104610007,5.092576792,4.842808869,5.238893781,5.090801022,5.246742249,5.080518261,5.056733385,5.109514427,4.739762158,4.871438657,4.913055824,5.716476634,5.162704768,5.388101202,5.154025103,4.959461166,5.086964574,5.536281871,5.142727258,5.342158075,5.001370207,5.218020558,5.312634268,5.231650509,5.11389658,5.164385575,5.151746668,5.070322375,4.952903786,5.210986974,4.897187077,5.518548156,4.786829475,5.159765648,4.829914572,5.055110638,4.990005679,5.093684284,4.940800277,,[M+H]+ 136.104,2,,C001,[33032] L-glutamic acid 2,,,,,,,,,,
2,150.0857003,150.085389,150.0860142,132.995192,131.8077343,134.0273395,45,25,20,5.687438883,5.802761414,5.747836572,5.333257796,5.7056448,5.657480374,5.629287245,5.765899422,5.641940875,5.489704012,5.829842607,5.656363683,5.46065884,5.514703115,5.627069739,5.737826917,5.450515456,5.623181039,5.554443124,5.470044259,5.427390346,6.012530159,5.802128986,5.702465003,5.797701618,5.741767529,5.81139133,5.794140053,5.584767562,5.77736229,5.883343972,5.825751879,5.503792044,5.798444842,5.649512046,5.543760207,5.505335871,5.667954204,5.597198095,5.527225058,5.717417507,5.403069021,5.575070015,5.531487858,5.884920482,5.702985114,5.642347769,5.817095787,5.694734152,5.747154573,5.831438464,5.762376178,5.887734297,5.575937972,5.78385929,5.599131682,5.529861355,5.927554617,5.601288434,5.831686168,5.680566653,5.356935583,5.867538784,5.599142613,6.294631535,5.734438167,5.753712485,5.728939482,5.80183436,5.765719207,5.702299539,5.878526391,5.777078667,5.966265196,5.975885627,5.681309091,5.869239936,5.697272072,5.86174404,5.549309859,5.904952909,5.888958054,5.702365043,5.753539397,5.690724888,5.926767271,5.789550395,5.679974509,5.676168482,,[M+H-H20]+ 167.094,2,,C002,[107689] L-(+) lactic acid [6.851],,,,,,,,,,
3,159.0919963,159.0908445,159.09977,133.7290446,132.8587882,136.613604,45,25,20,5.041724202,4.840802165,4.881983467,4.929500668,4.722469386,4.638259569,4.809775125,4.31768734,4.471687677,4.761845179,4.156942685,4.309587587,4.658307189,4.781187909,4.543049361,4.340186238,4.702016726,4.093491727,4.638758735,4.348752559,4.849155194,4.656625171,4.596959772,4.956907639,4.630793871,4.967992339,5.069871509,4.987903007,4.484541838,4.692265121,4.815544544,4.642128034,4.743415684,4.857428996,5.030012441,4.700573928,4.423409728,4.991868179,4.49586335,4.644418893,4.18723862,4.572371992,4.585596073,4.831620255,4.624044768,4.406165333,4.862971713,4.767066771,4.525783128,4.14578667,4.472844177,4.066437746,4.070518097,3.849357982,4.501483759,4.616475514,4.500442318,4.324220703,4.545517408,4.349141486,4.356656752,4.595705603,4.206987695,4.254934589,4.186928097,4.88293985,4.551108284,4.881104929,4.789369154,4.794794663,4.503899583,5.23528093,4.671691094,4.55866058,4.717811917,4.837885021,4.698413751,4.646129142,4.618842704,5.082534053,4.687127477,4.691108027,4.142045148,4.636608238,4.482244544,4.192177026,3.955206538,3.968669702,4.461633566,,[M+Na]+ 136.104,2,,C003,[2116] alpha tocophereol,,,,,,,,,,
4,190.0832279,190.0800167,190.0846543,133.0756261,132.2536376,134.0470284,45,25,20,4.982262185,5.465536017,5.055286569,5.007013379,5.012634788,5.324043631,5.162671921,5.807017896,5.195454065,5.186724725,5.902187346,5.7444432,5.32885238,5.338356873,5.295666042,5.546550066,5.033540356,5.368113877,5.017204518,5.413368508,5.364639159,5.548100612,5.418690656,5.328742383,5.894458404,5.385493664,5.079467063,5.066001481,5.809726667,5.540092864,5.358907111,5.822642666,5.030818231,5.108446625,5.125617876,5.402962567,5.415647651,5.449041571,5.625714656,5.72624702,5.385616997,5.394747531,5.537462702,5.322556259,5.398873606,5.639981263,5.351570214,5.234261592,5.62843389,6.026335479,5.296956815,5.697026101,6.012328001,5.58597481,5.454924092,5.334216433,5.36234108,5.658437846,5.503037162,5.451384182,5.454062426,5.008097462,5.494622044,5.447805888,5.933527273,5.475868682,5.793605316,5.225063629,5.669149454,5.648409781,5.671393175,5.114647674,5.902722853,5.628318415,5.457759309,5.499103967,5.275497934,4.969672126,5.413780743,5.03099215,5.442195895,6.029989743,5.5223151,5.349677632,5.829762274,5.22518518,5.86144121,5.933854107,5.794735447,,[M+Na]+ 167.094,2,,C004,[700] ethanolamine [9.879],,,,,,,,,,
5,371.2282742,371.2261002,371.2296364,162.0710977,161.6682357,162.7715399,45,25,20,4.854718881,5.000169342,5.101575246,5.100942334,4.881253378,5.093985202,4.958726295,5.126949202,5.0213175,5.034002429,5.330196572,5.435012552,4.956960391,5.028872064,5.24488792,5.326173995,5.097489843,5.161900809,4.989730061,5.062021364,5.033367454,5.214981529,5.245776619,5.274926424,5.432778544,5.286020609,5.067316403,5.092611882,5.44884076,5.447886415,5.300304118,5.225159321,4.987961056,5.016101112,4.974746507,5.138413232,4.94320258,5.017158598,5.129573893,5.188596663,5.241964636,5.118330874,5.214539205,5.125246976,5.321606714,5.129435298,5.117731868,5.129486873,5.418503473,5.045299503,5.226133142,5.30398183,5.149668575,5.226625679,5.304591765,5.247226718,5.15902248,5.052405342,5.11024281,5.197693975,5.033781499,4.887138863,5.166888738,5.11872755,5.45461165,5.250861392,5.401484979,5.083785607,5.378980809,5.546241514,5.338231319,5.100570412,5.093750784,5.330811356,5.5766304,5.197123356,4.956466185,5.284642753,5.386488264,5.066441473,5.113348295,5.048872776,5.333517804,5.297287671,5.436433003,5.047668086,5.278364848,5.299147598,5.181840731,,[M+H]+ 370.221,1,371.2282742,C005,[740] alpha-D-glucosamine 1-phosphate  [16.61],C15H35N2O6P,370.2232735,6,,,,,,315519,-1
6,371.2282742,371.2261002,371.2296364,162.0710977,161.6682357,162.7715399,45,25,20,6.00689499,6.225860073,6.284321526,6.144418519,6.088797131,6.293948733,6.088426703,6.356791797,6.199559372,6.235395361,6.600649395,6.262214655,6.136670161,6.257455852,6.519447721,6.560127545,6.324008413,6.380039662,6.021404325,6.308787586,6.265012504,6.413713739,6.504243937,6.526032966,6.709881529,6.536379638,6.333541781,6.256369161,6.496517564,6.395351034,6.585142055,6.466725154,6.188734202,6.287124464,6.239720053,6.407040268,6.212757941,6.281284321,6.364517226,6.458402587,6.349669867,6.356282149,6.329162666,6.348936954,6.545359699,6.331937217,6.280662353,6.351774089,6.673325544,6.20973827,6.510183216,6.524905162,6.387506394,6.458179597,6.569085494,6.509967175,6.416953054,6.236416075,6.373224362,6.46654823,6.303310774,6.09080666,6.416038568,6.372796789,6.701882756,6.288618956,6.650702969,6.339446671,6.649502702,6.455146323,6.620086061,6.359134166,6.31656159,6.548770349,6.594712683,6.455433882,6.095847995,6.095382435,6.428323056,6.277617465,6.35706806,6.246923312,6.446705509,6.56479444,6.555227136,6.084195075,6.543395236,6.538024612,6.46376701,,[M+H]+ 370.221,1,371.2282742,C006,Citric Acid,C22H36Cl2,370.2194065,4,,,,,,272363,-1
7,371.2282742,371.2261002,371.2296364,162.0710977,161.6682357,162.7715399,45,25,20,5.214295337,5.991616765,5.025068167,5.96994029,4.96354701,5.547862048,5.882271743,5.949456854,4.776119799,5.35011422,5.075787764,5.612471264,5.746129564,4.749527619,4.759562091,5.794243992,4.652468751,4.881761148,4.98009886,5.056862944,4.660210698,5.166536676,5.102625768,5.872663722,6.504773608,5.880094697,5.408790966,5.507122887,6.150620452,5.727418434,4.927098202,5.693161295,5.38338804,4.854718881,5.200959878,5.184753874,6.202894903,5.229855832,4.573150204,5.114360743,6.082677322,4.991620307,5.574553265,4.740560051,5.733708324,5.428559158,5.055706986,5.051715775,5.02819291,5.248716084,4.868949924,5.645245371,6.231264373,5.661328921,6.232876726,5.17519569,4.729877226,6.265264397,5.028620047,5.462654006,4.858801784,4.91565833,5.952573062,4.949302163,5.581866635,5.830233775,5.474287669,6.14978702,5.351792443,5.603849934,5.371942961,6.006142875,6.174088023,6.558562421,6.335781144,5.985293965,5.528708497,6.166841714,5.890072102,5.399590661,6.372333601,6.241207928,5.487705276,5.190964466,6.140572774,5.484474946,5.420041608,5.255178398,6.06016125,,[M+H]+ 370.221,1,371.2282742,C007,Tagatose 1,C16H34O9,370.2202827,1,78798,HMDB0094680,,,,332404,-1
8,393.2099056,393.2068077,393.2119592,162.0561546,161.6682357,162.7715399,45,25,20,5.6005885,6.378175063,5.413440594,6.356497394,5.349228946,5.92397,6.251917442,6.325784244,5.152707145,5.719384327,5.451050735,5.985523921,6.127865767,5.135186736,5.132870987,6.165424775,5.045987606,5.264425837,5.360805397,5.442722718,5.055783382,5.531393327,5.46994419,6.254790654,6.881308349,6.25390014,5.784334089,5.892701634,6.52944306,6.103185352,5.307181435,6.070517359,5.763030957,5.213860276,5.576032511,5.546426672,6.56865128,5.600090349,4.93632772,5.479916336,6.478391155,5.382424115,5.961703412,5.129051513,6.109735431,5.804380716,5.439381648,5.440148401,5.414309707,5.631799785,5.251484913,6.022052893,6.60755967,6.036915004,6.611684761,5.547359898,5.117095553,6.645985308,5.412067236,5.843298198,5.253299227,5.303973203,6.333340854,5.346073136,5.941011259,6.204642721,5.845250016,6.524426113,5.724554384,5.973338482,5.745599377,6.381406619,6.552152231,6.93859567,6.719709307,6.369244624,5.900255126,6.543387033,6.260913627,5.759743368,6.736118146,6.593472929,5.856298006,5.54746456,6.510168727,5.861546358,5.785812275,5.616565829,6.42803496,[2][M]+,[M+Na]+ 370.221,1,393.2099056,C008,[1101] L- sorbose 2 [17.235],C15H35N2O6P,370.2232735,6,,,,,,315519,4
9,393.2099056,393.2068077,393.2119592,162.0561546,161.6682357,162.7715399,45,25,20,6.180755347,5.566408028,6.174938561,5.823808625,5.943524688,5.916594479,6.29680708,5.939966795,5.921639663,6.161688663,5.934495926,7.094928696,6.045248634,5.984549365,5.864187019,6.049318054,6.065199401,6.437197833,6.059449055,6.025056689,6.055212381,6.479584667,5.912171554,6.286183771,6.044497034,5.968486217,6.281730407,6.360745787,6.063092685,5.992510661,5.988908392,5.928636491,6.038208718,6.158477685,5.951776935,5.867308944,5.638311509,5.976133466,5.82215696,5.756960757,6.237995391,6.22670299,6.411170534,5.819441272,5.997957058,6.030326026,6.024029378,5.98394231,5.991651299,5.936199972,5.06225473,5.812897321,5.82559422,5.957105667,5.938293513,5.8304719,5.771045561,6.012799697,5.850048593,5.701120509,5.790726976,5.990183849,5.581210991,5.635494805,5.866152007,5.894185866,6.194506572,6.023328197,5.852871414,6.084469031,6.047709334,5.902002891,5.991000006,6.022927132,5.968216686,5.947881021,6.044687113,5.890974573,5.976971396,5.606272778,6.051042873,5.935788811,5.757156797,5.935830599,5.868704377,5.815678674,5.868014578,5.990604768,5.784762746,[2][M]+,[M+Na]+ 370.221,1,393.2099056,C009,L-Valine 2,C22H36Cl2,370.2194065,4,,,,,,272363,4
