,O43866,O75015,O75636,P00450,P00736,P00747,P00748,P00751,P01011,P01023,P01024,P01033,P01034,P01042,P01591,P01834,P01871,P01876,P01877,P02647,P02652,P02654,P02655,P02656,P02675,P02679,P02741,P02743,P02745,P02746,P02748,P02750,P02751,P02753,P02763,P02766,P02771,P02774,P02787,P02790,P03952,P04003,P04004,P04275,P04278,P05155,P05156,P05160,P05452,P05543,P05546,P06276,P06727,P07225,P07333,P08294,P08519,P08571,P09871,P0C0L4,P10643,P10909,P13591,P13598,P13796,P14151,P15144,P16070,P19320,P20742,P22105,P22891,P24592,P26927,P27169,P27918,P29622,P35858,P41222,P43652,P49747,P51884,P55058,P61626,P61769,P80108,Q10588,Q12805,Q13201,Q14520,Q14624,Q15848,Q16610,Q6EMK4,Q6UXB8,Q96KN2,Q9NPY3,Q9UNN8,Q9Y5Y7,Q9Y6R7
RL105201RS,13.14051973,10.80536213,14.79290372,16.95162772,12.84726721,15.52169696,13.97269338,16.1461181,17.04744581,18.95185283,15.06988514,12.55532412,12.63968691,16.54717393,10.64227142,10.20390488,12.67575745,10.9765001,11.28047475,18.10629533,15.98978279,14.44184906,15.32630513,15.84807431,8.912260057,9.269178501,12.37688977,15.0935377,13.12545213,13.06401291,15.10569892,15.13662579,14.16459081,15.65814691,17.86292703,13.90408792,9.393870534,17.25465602,11.66723144,17.99304149,15.06669467,12.78799439,15.73845806,12.92953843,13.8231655,15.78200082,15.69808483,12.86633283,13.88674369,14.23533643,14.70804049,12.97925306,15.09723301,13.35346111,10.77399349,11.54488235,10.58526806,11.75660035,14.70040617,13.27078903,14.72650856,14.9390084,8.338861263,11.57688843,7.79349556,13.03043102,10.77681049,12.8088579,11.55608775,8.822099898,11.4839912,12.61324357,11.28384826,11.53588627,14.45547979,13.03785849,14.31061327,13.77406743,11.95826117,14.73027953,10.6896589,13.45700104,12.38641665,13.66898655,11.97564696,12.80593355,10.66218322,12.94838589,12.63834464,14.01234406,16.12037443,12.38922516,11.96249472,12.26581127,11.70769625,11.21861382,12.51184471,12.91301798,12.82126838,12.32950637
RL106301RS,14.83225383,11.33245743,13.70795161,16.57049825,12.61886883,15.21557834,13.02535821,15.63707467,17.10152638,18.92648371,14.44930424,12.07379902,12.27209063,16.14678949,12.38921733,12.10213534,15.1526792,11.74733842,10.00007463,17.84936769,15.45047197,13.40121295,14.02186002,14.17977672,10.86153541,11.35704464,13.36729592,13.16470505,13.00504143,13.1216292,14.52176829,15.17379394,13.03441276,13.7789394,16.59427993,13.56435146,9.371896557,16.45482079,11.49911984,16.19024572,14.31648706,13.04411342,15.13966934,13.75495385,14.46584604,15.66799842,15.35604246,12.58864199,14.27404393,13.88455968,13.59352115,11.87692708,15.34764186,12.85818454,12.83523256,12.77092364,9.189676156,11.71158217,14.68874284,12.09297443,15.62612214,14.46199515,9.360283438,12.87848404,8.024952171,14.06811377,11.17041479,13.46456958,12.68614432,7.67938839,12.55096015,12.15319521,10.56007001,10.97153976,13.76484141,12.90144677,13.75429479,12.82094949,11.98818144,14.90464807,11.97135309,14.08744363,12.99928146,12.8954587,12.13234394,11.62193253,11.98654656,14.03081953,13.33079032,13.20472853,16.16313387,12.92966083,12.64111225,12.74031137,12.04507683,10.9393012,13.39887316,13.21504679,14.74245593,13.12947393
RL101201RS,15.29698726,8.213111877,14.0631373,16.81491848,12.91464626,14.68625417,13.21258054,15.18691055,17.3464582,18.63378487,14.32316105,12.53906764,12.67717607,15.54320542,12.38461411,11.6121453,13.9391158,12.71634076,12.5134553,16.03748967,13.93849734,11.27231573,10.24055482,11.54913409,12.07471819,12.51079661,15.02524828,13.50357682,14.05710525,13.74858096,14.37532462,14.85156556,13.3013973,13.43471901,17.14706129,13.13107927,9.263813551,15.89194989,11.06893876,15.98794838,13.78656929,12.56836111,14.59189032,13.92178019,13.68383146,16.04657111,15.06135203,12.19664617,14.30003746,13.98948227,13.20359733,11.68512434,15.33033057,13.17672239,13.23123468,13.31070295,9.353707715,12.68337385,14.629571,13.13146442,16.06898458,14.14685284,9.715929926,12.97878495,8.92291958,14.15115676,11.67938933,13.68511706,13.47923205,8.540252424,12.83911752,10.95327664,11.45455217,10.8546776,12.88958981,13.5778934,13.17893333,12.16027167,12.47727634,14.24958588,12.99811053,14.92402291,13.47126088,13.30136634,12.62827689,10.91043177,12.29596145,14.29075414,13.61995555,13.24795414,15.71043586,12.96090052,14.052394,12.86535939,13.21703944,10.53732262,13.47750658,12.94359661,15.4599038,13.86454804
RL105601RS,14.74864247,11.94521494,14.16428894,16.65721712,12.90307725,14.94624261,13.28151611,15.23317838,17.00555306,18.8293359,14.38332293,12.3733309,12.68444801,15.85411029,12.11194777,11.26123314,14.28559021,11.26029058,11.16682088,17.51614112,15.54629598,12.95716604,13.93713231,13.91744909,11.10628181,11.38405746,14.18478766,13.30181446,13.86589245,13.52717691,14.42788136,14.64448897,13.27480743,13.80005549,17.01221711,13.28046293,9.281434634,16.14814306,12.0631999,16.55548017,13.8420695,11.92085188,15.12060855,13.52877806,14.45576499,15.65508957,14.99525867,12.40717341,14.22794609,14.22965372,13.46260165,12.00176226,15.23953611,12.79857246,12.40704722,12.66651297,10.26428559,11.99833711,14.58415098,12.12067527,15.53183529,14.19962142,9.004584108,12.78488466,8.365850013,14.0741651,11.20281487,13.46857588,12.80267141,9.334800429,12.30874082,11.4030938,11.45465827,10.67210482,13.67763816,13.32753423,13.54539974,12.49314947,11.95164976,14.51034483,12.56701976,14.23395196,12.78916567,13.18179268,12.26461583,11.96409307,12.09860597,13.71153302,13.09396654,13.34075593,15.821533,12.94122899,12.79431322,12.3023827,12.52090132,10.13772929,13.28817384,12.89275571,14.80973721,12.82987436
RL109401RS,14.11609269,11.55592516,14.51711354,16.38520354,12.85885866,15.21550309,13.54586273,16.00826867,17.62811345,19.02318825,15.08007543,12.77222264,12.34622623,16.17634216,12.21623002,11.73364056,14.72044642,10.47739952,11.27018228,16.20825617,15.04905527,11.82523498,11.8822648,11.83207892,11.97722448,12.0797371,14.73586573,14.05022219,14.34242104,13.82478195,14.57998269,15.61236665,12.91773538,14.07472109,17.06951247,13.18193629,11.66448314,16.85676644,11.02575704,17.00262653,13.95374319,13.17441755,15.0952782,13.70252059,13.87672918,15.76435151,15.30932969,12.68096481,14.00883584,14.13212122,14.00772302,11.11612867,15.04600384,13.1314537,12.70346511,12.4552368,7.375808785,12.24909545,14.76459231,12.54761085,16.00310458,14.26534066,9.146798905,12.87917307,8.318868361,13.77187955,11.1884768,13.38997113,12.68229206,8.973771975,12.26147262,11.72172524,10.87918323,11.21089601,13.67283037,13.07036744,13.22294702,12.21812646,11.83189494,14.46032031,12.12787334,13.88525278,12.84802488,13.30686434,12.05383389,10.45701201,12.26952407,13.85691723,13.30834397,13.53216712,15.93277334,13.38904191,13.07344788,12.4999091,11.84439481,9.863528593,13.0260017,12.90473076,15.28597203,13.1645706
RL107001RS,14.44641961,11.21684283,14.35690272,16.9458669,12.52723889,15.08173525,13.59620581,15.49716762,17.17854736,18.69164163,14.00896098,12.45108145,13.09700657,15.98920391,12.04176759,11.03668804,14.32544056,11.69316651,11.19549208,17.422884,15.2392565,13.35331485,14.29062991,14.44195723,10.09071651,10.31023456,13.35899384,14.18685704,14.056164,13.78115089,14.80686202,15.34918301,12.69905172,14.60038747,16.83523746,13.28767341,9.379875749,16.58581672,11.46850685,17.38916753,14.15629334,12.38164144,15.04635763,13.18341236,14.11575605,16.05967494,15.22001761,11.99724393,14.31905909,14.54477563,13.01912611,11.59922585,14.21895011,12.99140182,11.80401033,12.45338229,9.819532536,12.32075713,14.65625447,13.42992465,15.7383308,13.91792786,9.049076291,12.94114043,8.094779904,14.05476953,11.28178525,13.11029433,12.5042022,8.822305959,11.95020617,12.29393914,11.40535764,11.09312821,13.38124528,13.63952485,13.4178537,12.46202078,12.17201355,14.45861936,11.14143963,13.46047547,12.89955262,13.74565485,13.03072273,11.43895915,12.07602752,13.90021634,12.9832558,13.6793143,16.02315868,13.00276767,13.0957677,12.40252793,12.24042036,10.08599289,13.41271217,12.86434469,13.99905148,12.92621158
RL104901RS,13.83183239,9.995103616,15.42161208,16.77605193,12.61418889,15.43603257,13.42730591,15.90997563,17.17468888,18.79669644,15.16572936,12.33605653,12.23155186,16.33530493,11.86779752,11.25164611,14.24812239,11.12598904,11.20545459,17.6705447,15.87539448,13.67402661,14.89355833,15.12574259,9.986702316,10.22584019,12.44977774,14.93417488,13.50369237,13.21017765,15.11154171,15.12551818,12.7981969,15.41598504,17.14150329,13.54666134,9.310121276,17.12944256,12.92380561,17.70407204,14.53856164,13.55799306,15.66914223,13.12337361,14.0388225,15.84575933,15.49714332,12.61755833,13.90222442,14.33893339,14.78885953,12.55897067,14.71767595,13.07406253,11.17610846,11.73617311,11.76784788,12.05299329,14.56102445,13.28680298,15.38656542,14.80881666,8.756293251,11.8167692,7.536400088,13.01784044,11.32854379,12.79478211,11.64203118,9.660871469,11.66291094,12.83470675,11.04152916,11.06693545,14.13323639,12.35882565,14.11613557,13.86184352,11.68510529,14.96224414,10.84103221,13.55696488,12.75297864,12.66701388,12.11986589,12.52837737,10.91431722,12.97312055,12.24122161,13.8542441,16.00946968,12.21394186,11.69580594,12.06048884,11.52496116,10.58984198,12.29160581,12.31334088,13.46639273,12.51527526
RL106901RS,14.23057365,10.21861561,13.73362222,16.42263077,12.17867113,15.07197898,13.42958994,15.48401157,17.28592534,18.57934349,14.63587589,12.27085279,12.52730631,16.09701837,12.10161429,11.82278015,14.85494848,11.34984544,12.08014988,17.24556462,15.55959442,13.56338459,15.03918553,15.35521784,9.763569963,10.20202302,13.32897482,14.48204647,13.65263866,13.4566618,15.03226211,15.27625653,13.52676136,15.22299915,17.41753201,13.39831345,8.826258068,16.76557902,12.61853056,17.62829517,14.67748677,13.28877453,14.90942232,13.93507235,13.69110338,15.5153189,15.2732388,12.54918009,13.80684368,14.0877619,14.22871049,12.31803519,15.24521783,12.95672316,11.41629763,12.11237969,9.674571689,12.00662675,14.34550636,12.52359774,15.02184492,14.51950331,8.693487092,12.25748714,8.537461895,13.0490361,11.05123239,12.7558724,11.86442995,9.600597347,12.28353372,12.10785671,11.10493832,11.1830894,14.18028176,12.60604013,13.96652076,13.64168687,11.88167797,14.24615103,10.80907651,13.93426895,12.91968445,13.06567531,12.56966306,12.14297224,11.31301841,13.81774199,12.7183544,13.92287236,15.9396966,12.18886708,12.31644016,12.19605337,11.84582472,11.08110383,12.80014999,12.68485698,13.72549701,12.58361603
RL107201RS,13.88241741,10.63129394,15.06648974,16.75396506,13.03635342,15.80030386,13.50989567,15.87230407,16.61630011,18.84441151,14.84641037,12.3748528,12.86486746,16.50378044,11.72424621,10.72083695,13.94690494,10.94483647,11.58115932,18.38062247,16.10514127,13.79338542,14.89485701,15.69734399,8.849428477,8.898706357,11.87402926,14.37893611,12.99411084,12.99037135,14.41198778,14.60062014,13.83499862,15.08267101,16.52672872,13.80995688,7.699679276,16.93373341,11.7944828,17.62729313,14.67456146,12.55897929,15.82890287,13.35916702,15.13810026,15.66825433,15.31920639,12.9081364,14.10241436,14.56106817,14.07741786,11.74487767,15.22143371,13.27690307,12.15622808,11.97770705,8.872804418,11.90492228,14.60077934,13.20695238,15.21561162,15.00473458,8.737195707,12.23984113,8.245635321,13.428768,11.2546562,13.04524966,12.29590364,9.903180706,11.59270002,12.44667443,11.2502179,11.41894546,14.76744528,12.66411728,14.13792011,13.08838647,11.7026271,15.36658674,11.5238152,13.99329135,13.11772648,13.17511875,12.39947767,12.57911235,11.23395639,13.58836298,12.36006378,13.80196135,15.89928472,12.07102736,12.28857058,12.03892137,11.39735355,10.59203328,12.54519811,12.71925834,14.06866732,12.65971792
RL108801RS,13.46626472,11.42656108,14.19281921,16.8650128,12.87300963,14.80390457,13.35334871,15.335838,17.63784014,18.72610776,14.10075405,12.25866282,12.67482014,15.83935549,12.16231062,11.36481357,14.90414493,11.3988474,11.32202449,17.48131252,15.20828627,12.86041685,14.12622648,14.5219287,9.202604001,10.14540245,14.67950299,13.50402742,13.81648284,13.65512441,14.72567231,15.50591918,12.44722033,14.84061492,17.64034019,13.61007009,9.255435529,16.24160458,10.96221226,17.6207517,14.27208561,11.87926258,15.33573862,14.43081149,13.76340544,15.68512433,14.94076955,12.2549176,14.06826951,13.90338465,14.15363165,11.52436655,15.26679478,13.21265308,12.42368067,12.38474876,9.968787825,12.09274998,14.28635714,12.67754708,15.49567982,14.43288833,8.560632948,12.83256373,9.158231299,13.81179618,11.66032747,13.40263847,12.78564959,9.575890407,11.96430712,12.20368153,11.4199171,10.29478383,13.51052571,12.73423925,13.40509469,12.59608097,12.27377201,14.37953587,11.2577215,14.2351886,13.13728315,13.5121685,12.45771175,11.46968628,11.82298957,13.90729922,13.4280788,13.3705596,15.81811494,13.0821002,12.46525088,12.76036105,11.39752965,10.19473932,13.1806998,12.99880078,14.87745321,13.34170597
