 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
1,51.23408513,51.22365518,51.24364142,284.0386618,281.790347,285.4608238,363,252,111,112.8061681,186.8823839,219.5137073,,,13,0,0,1,0,0,,,,,,,,,,,,
2,51.41304829,51.40374269,51.42319492,284.0684255,281.790347,287.6839541,372,255,116,107.2750305,173.3516818,245.9140181,,,13,0,0,1,0,0,,,,,,,,,,,,
3,68.99722298,68.99641878,68.99809279,26.38968836,25.03143047,28.47885125,373,255,118,27264.43176,31509.43367,27371.09486,[144][M]+,,211,1,0,1,1,0,,,,,,,,,,,,
4,70,69.98615032,70.0035538,26.20984799,22.97724725,30.28312359,355,244,111,609.3509713,492.6727396,337.4485873,[144][M+1]+,,211,0,0,1,0,0,,,,,,,,,,,,
5,71.01527846,71.00612062,71.02321448,20.65651989,19.2063031,28.80793217,369,251,117,430.8303009,398.0530239,456.5668632,,,328,1,0,1,1,0,,,,,,,,,,,,
6,71.05129543,71.04502361,71.06,81.60029912,69.94191148,83.05176428,375,255,118,1566.992035,570.3335526,517.5218286,,,27,0,0,1,0,0,,,,,,,,,,,,
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,"1,3-Dioxole, 4-methyl-",C4H6O2,86.03677943,5,,,,,,337777,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,3-Butenoic acid,C4H6O2,86.03677943,5,,,,,,334215,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Oxetane-3-carbaldehyde,C4H6O2,86.03677943,5,,,,,,329603,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,"2,2'-Bioxirane",C4H6O2,86.03677943,5,,,,,,302829,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Cyclopropane carboxylic acid,C4H6O2,86.03677943,5,,,,,,301319,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,2-Butenoic acid,C4H6O2,86.03677943,5,,,,,,290159,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Methacrylic acid,C4H6O2,86.03677943,5,,,,,,285152,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,"2,3-Butanedione",C4H6O2,86.03677943,5,,,,,,269023,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Butanedial,C4H6O2,86.03677943,5,,,,,,268671,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,"2-Methyl-2H-1,3-dioxole",C4H6O2,86.03677943,5,,,,,,268616,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,dl-Diepoxybutane,C4H6O2,86.03677943,5,,,,,,265588,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,4-Butyrolactone,C4H6O2,86.03677943,5,,,,,,265295,-1
